id	character	keyword	frame	reviewed
rtk87	刀	sword	87	no
rtk88	刃	blade	88	no
rtk89	切	cut	89	no
rtk90	召	seduce	90	no
rtk91	昭	shining	91	yes
rtk92	則	rule	92	yes
rtk93	副	vice-	93	yes
rtk94	別	separate	94	yes
rtk95	丁	street	95	no
rtk96	町	village	96	yes
rtk97	可	can	97	yes
rtk98	頂	place on the head	98	yes
rtk99	子	child	99	no
rtk100	孔	cavity	100	no
rtk101	了	complete	101	no
rtk102	女	woman	102	no
rtk103	好	fond	103	no
rtk104	如	likeness	104	no
rtk105	母	mama	105	no
rtk106	貫	pierce	106	yes
rtk107	兄	elder brother	107	no
rtk108	呪	curse	108	no
rtk109	克	overcome	109	yes
rtk110	小	little	110	no
rtk111	少	few	111	no
rtk112	大	large	112	no
rtk113	多	many	113	no
rtk114	夕	evening	114	no
rtk115	汐	eventide	115	no
rtk116	外	outside	116	no
rtk117	名	name	117	no
rtk118	石	stone	118	yes
rtk119	肖	resemblance	119	no
rtk120	硝	nitrate	120	yes
rtk121	砕	smash	121	no
rtk122	砂	sand	122	yes
rtk123	妬	jealous	123	yes
rtk124	削	plane	124	yes
rtk125	光	ray	125	no
rtk126	太	plump	126	no
rtk127	器	utensil	127	no
rtk128	臭	stinking	128	no
rtk129	嗅	sniff	129	no
rtk130	妙	exquisite	130	no
rtk131	省	focus	131	no
rtk132	厚	thick	132	no
rtk133	奇	strange	133	no
rtk134	川	stream	134	no
rtk135	州	state	135	no
rtk136	順	obey	136	yes
rtk137	水	water	137	no
rtk138	氷	icicle	138	no
rtk139	永	eternity	139	no
rtk140	泉	spring	140	no
rtk141	腺	gland	141	no
rtk142	原	meadow	142	no
rtk143	願	petition	143	yes
rtk144	泳	swim	144	no
rtk145	沼	marsh	145	no
rtk146	沖	open sea	146	no
rtk147	汎	pan-	147	no
rtk148	江	creek	148	no
rtk149	汰	cleanse	149	no
rtk150	汁	soup	150	no
rtk151	沙	grains of sand	151	no
rtk152	潮	tide	152	no
rtk153	源	source	153	yes
rtk154	活	lively	154	no
rtk155	消	extinguish	155	no
rtk156	況	but of course	156	no
rtk157	河	river	157	no
rtk158	泊	overnight	158	no
rtk159	湖	lake	159	yes
rtk160	測	fathom	160	yes
rtk161	土	soil	161	no
rtk162	吐	spit	162	no
rtk163	圧	pressure	163	no
rtk164	埼	cape	164	no
rtk165	垣	hedge	165	no
rtk166	填	inlay	166	no
rtk167	圭	squared jewel	167	no
rtk168	封	seal	168	no
rtk169	涯	horizon	169	no
rtk170	寺	buddhist temple	170	no
rtk171	時	time	171	no
rtk172	均	level	172	no
rtk173	火	fire	173	no
rtk174	炎	inflammation	174	no
rtk175	煩	anxiety	175	yes
rtk176	淡	thin	176	no
rtk177	灯	lamp	177	yes
rtk178	畑	farm	178	no
rtk179	災	disaster	179	no
